date,long_name,player,notes,injury,team
2014-10-28,Blue Jackets,Nick Foligno,upper body injury (DTD),torso,CBJ
2014-10-29,Blue Jackets,Artem Anisimov,concussion (out indefinitely),head,CBJ
2014-11-04,Blue Jackets,Ryan Murray,knee injury (DTD),ul,CBJ
2014-11-08,Blue Jackets,Matt Calvert,upper body injury (DTD),torso,CBJ
2014-11-11,Blue Jackets,Jack Skille,upper body injury (DTD),torso,CBJ
2014-12-20,Blue Jackets,Cody Goloubef,sprained right knee (DTD),ul,CBJ
2015-01-10,Blue Jackets,Jack Skille,lower body injury (DTD),torso,CBJ
2015-01-21,Blue Jackets,Sergei Bobrovsky,lower body injury (DTD),torso,CBJ
2015-02-07,Blue Jackets,James Wisniewski,lower body injury (DTD),torso,CBJ
2015-02-09,Blue Jackets,Dalton Prout,upper body injury (DTD),torso,CBJ
2015-02-17,Blue Jackets,Nick Foligno,lower body injury (DTD),torso,CBJ
2015-02-27,Blue Jackets,Brandon Dubinsky,concussion (DTD),head,CBJ
2015-02-28,Blue Jackets,Kevin Connauton,lower body injury (DTD),torso,CBJ
2015-03-04,Blue Jackets,David Clarkson,torn oblique muscle (out for season),torso,CBJ
2015-03-18,Blue Jackets,Brandon Dubinsky,upper body injury (DTD),torso,CBJ
2015-03-20,Blue Jackets,Alexander Wennberg,hand infection (DTD),la,CBJ
2015-03-24,Blue Jackets,Rene Bourque,upper body injury (out for season),torso,CBJ
2015-10-08,Blue Jackets,David Clarkson,lower body injury (DTD),torso,CBJ
2015-10-10,Blue Jackets,Alexander Wennberg,concussion (out indefinitely),head,CBJ
2015-11-03,Blue Jackets,Alexander Wennberg,lower body injury (DTD),torso,CBJ
2015-11-13,Blue Jackets,Brandon Dubinsky,upper body injury (DTD),torso,CBJ
2015-11-21,Blue Jackets,Cody Goloubef,mouth/jaw injury (DTD),head,CBJ
2015-11-21,Blue Jackets,Fedor Tyutin,upper body injury (DTD),torso,CBJ
2015-12-17,Blue Jackets,Blue Jackets,upper body injury (DTD),torso,CBJ
2015-12-17,Blue Jackets,Jack Johnson,upper body injury (DTD),torso,CBJ
2016-01-14,Blue Jackets,David Savard,upper body injury (DTD),torso,CBJ
2016-01-25,Blue Jackets,John Tortorella,out as head coach with two fractured ribs (DTD),head,CBJ
2016-02-09,Blue Jackets,Jared Boll,neck injury (DTD),head,CBJ
2016-03-05,Blue Jackets,Brandon Saad,upper body injury (DTD),torso,CBJ
2016-03-19,Blue Jackets,Curtis McElhinney,surgery on knee (out for season),ul,CBJ
2016-04-05,Blue Jackets,Cody Goloubef,oblique injury (out for season),torso,CBJ
2016-10-06,Blue Jackets,Joonas Korpisalo,groin injury (DTD),ul,CBJ
2016-10-14,Blue Jackets,Ryan Murray,lower body injury (DTD),torso,CBJ
2016-10-22,Blue Jackets,Ryan Murray,upper body injury (DTD),torso,CBJ
2016-11-18,Blue Jackets,Dalton Prout,back spasms (DTD),torso,CBJ
2016-11-23,Blue Jackets,Matt Calvert,head injury (DTD),head,CBJ
2017-02-14,Blue Jackets,Scott Hartnell,lower body injury (DTD),torso,CBJ
2017-02-18,Blue Jackets,Lukas Sedlak,lower body injury (DTD),torso,CBJ
2017-03-06,Blue Jackets,Josh Anderson,lower body injury (DTD),torso,CBJ
2017-03-07,Blue Jackets,Ryan Murray,lower body injury (DTD),torso,CBJ
2017-03-12,Blue Jackets,Ryan Murray,fractured hand (out for season),la,CBJ
2007-10-02,Kings,Jean-Sebastien Aubin,placed on IR with groin injury,ul,LAK
2007-10-15,Kings,Jean-Sebastien Aubin,activated from IR,activated from IR,LAK
2007-11-02,Kings,Kyle Calder,placed on IR with fractured thumb (out indefinitely),la,LAK
2007-11-03,Kings,Raitis Ivanans,placed on IR with cheekbone injury,head,LAK
2007-11-24,Kings,Alexander Frolov,placed on IR with groin injury,ul,LAK
2007-11-24,Kings,Scott Thornton,placed on IR with bruised sternum,torso,LAK
2007-11-24,Kings,Kyle Calder,activated from IR,activated from IR,LAK
2007-11-24,Kings,Raitis Ivanans,activated from IR,activated from IR,LAK
2007-12-08,Kings,Scott Thornton,activated from IR,activated from IR,LAK
2007-12-15,Kings,Jason LaBarbera,placed on IR with rib injury,torso,LAK
2007-12-15,Kings,Alexander Frolov,activated from IR,activated from IR,LAK
2007-12-17,Kings,Jason LaBarbera,activated from IR,activated from IR,LAK
2008-01-14,Kings,Michael Cammalleri,placed on IR with rib injury,torso,LAK
2008-02-02,Kings,Ladislav Nagy,placed on IR with neck injury,head,LAK
2008-02-05,Kings,Michael Cammalleri,activated from IR,activated from IR,LAK
2008-02-07,Kings,Rob Blake,placed on IR with left ankle injury,ll,LAK
2008-02-28,Kings,Rob Blake,activated from IR,activated from IR,LAK
2008-10-03,Kings,John Zeiler,placed on IR with strained groin,ul,LAK
2008-10-06,Kings,Marc-Andre Cliche,placed on IR with separated shoulder,torso,LAK
2008-10-06,Kings,Richard Clune,placed on IR with chest injury,torso,LAK
2008-10-13,Kings,Jack Johnson,placed on IR with shoulder injury,torso,LAK
2008-11-03,Kings,John Zeiler,activated from IR,activated from IR,LAK
2008-11-19,Kings,Richard Clune,activated from IR,activated from IR,LAK
2008-12-16,Kings,Brad Richardson,placed on IR with foot injury,ll,LAK
2009-01-14,Kings,Oscar Moller,placed on IR with fractured clavicle,torso,LAK
2009-01-17,Kings,Jack Johnson,activated from IR,activated from IR,LAK
2009-01-22,Kings,Brad Richardson,activated from IR,activated from IR,LAK
2009-02-04,Kings,Marc-Andre Cliche,activated from IR,activated from IR,LAK
2009-02-11,Kings,Oscar Moller,activated from IR,activated from IR,LAK
2009-02-17,Kings,Brad Richardson,placed on IR with fractured right wrist,la,LAK
2009-03-01,Kings,Raitis Ivanans,placed on IR with upper body injury,torso,LAK
2009-03-01,Kings,Tom Preissing,activated from IR,activated from IR,LAK
2009-03-12,Kings,Raitis Ivanans,activated from IR,activated from IR,LAK
2009-03-20,Kings,Justin Williams,activated from IR,activated from IR,LAK
2009-03-21,Kings,Brad Richardson,activated from IR,activated from IR,LAK
2009-09-30,Kings,Richard Clune,placed on IR with pulled groin,ul,LAK
2009-10-09,Kings,Richard Clune,activated from IR,activated from IR,LAK
2009-10-29,Kings,Alec Martinez,placed on IR with ankle injury,ll,LAK
2009-11-19,Kings,Alec Martinez,activated from IR,activated from IR,LAK
2009-11-23,Kings,Ryan Smyth,placed on IR with upper body injury,torso,LAK
2009-11-26,Kings,Andrei Loktionov,placed on IR with shoulder injury,torso,LAK
2009-12-18,Kings,Ryan Smyth,activated from IR,activated from IR,LAK
2009-12-26,Kings,Jarret Stoll,placed on IR with groin injury,ul,LAK
2009-12-26,Kings,Brandon Segal,activated from IR,activated from IR,LAK
2009-12-26,Kings,Wayne Simmonds,activated from IR,activated from IR,LAK
2009-12-27,Kings,Justin Williams,placed on IR with right knee injury / broken right leg (CBC Y),ll,LAK
2010-01-04,Kings,Jarret Stoll,activated from IR,activated from IR,LAK
2010-01-06,Kings,Randy Jones,placed on IR with neck injury,head,LAK
2010-01-09,Kings,Randy Jones,activated from IR,activated from IR,LAK
2010-01-10,Kings,Davis Drewiske,placed on IR with shoulder injury,torso,LAK
2010-02-08,Kings,Davis Drewiske,activated from IR,activated from IR,LAK
2010-03-12,Kings,Justin Williams,activated from IR,activated from IR,LAK
2010-03-26,Kings,Andrei Loktionov,activated from IR,activated from IR,LAK
2010-10-06,Kings,Colten Teubert,placed on IR / injured-non-roster list (CBC) with wrist injury,la,LAK
2010-10-06,Kings,Marc-Andre Cliche,placed on IR / injured-non-roster list (CBC) with knee injury,ul,LAK
2010-10-06,Kings,Matt Greene,placed on injured/non-roster list recovering form surgery on left shoulder,torso,LAK
2010-10-06,Kings,Scott Parse,placed on IR with groin injury,ul,LAK
2010-10-06,Kings,Viatcheslav Voynov,placed on IR with shoulder injury,torso,LAK
2010-10-06,Kings,Ray Kaunisto,placed on IR with foot injury,ll,LAK
2010-10-12,Kings,Viatcheslav Voynov,activated from IR,activated from IR,LAK
2010-10-16,Kings,Ray Kaunisto,activated from IR,activated from IR,LAK
2010-10-23,Kings,Matt Greene,activated from non-roster list,activated from non-roster list,LAK
2010-10-25,Kings,Drew Doughty,placed on IR with upper body injury,torso,LAK
2010-10-29,Kings,Marc-Andre Cliche,activated from IR (SN) / non-roster list (E TSN),activated from IR (SN) / non-roster list (E TSN),LAK
2010-11-04,Kings,Drew Doughty,activated from IR,activated from IR,LAK
2010-11-04,Kings,Scott Parse,activated from IR,activated from IR,LAK
2010-11-08,Kings,Willie Mitchell,placed on IR with broken wrist,la,LAK
2010-11-15,Kings,Colten Teubert,activated from IR,activated from IR,LAK
2010-11-16,Kings,Alexei Ponikarovsky,placed on IR with broken finger,la,LAK
2010-11-18,Kings,Scott Parse,placed on IR with groin/hip injury,ul,LAK
2010-12-09,Kings,Alexei Ponikarovsky,activated from IR,activated from IR,LAK
2010-12-10,Kings,Brad Richardson,placed on IR with upper body injury,torso,LAK
2010-12-13,Kings,Willie Mitchell,activated from IR,activated from IR,LAK
2010-12-19,Kings,Brad Richardson,activated from IR,activated from IR,LAK
2010-12-21,Kings,Marco Sturm,activated from non-roster injured list,activated from non-roster injured list,LAK
2011-01-19,Kings,Marco Sturm,placed on IR with left knee injury,ul,LAK
2011-02-23,Kings,Marco Sturm,activated from IR,activated from IR,LAK
2011-04-22,Kings,Scott Parse,activated from IR,activated from IR,LAK
2011-10-06,Kings,Jake Muzzin,activated from IR,activated from IR,LAK
2011-10-16,Kings,Drew Doughty,placed on IR with upper body injury,torso,LAK
2011-10-29,Kings,Drew Doughty,activated from IR,activated from IR,LAK
2011-11-09,Kings,Scott Parse,placed on IR with lower body injury (out for season),torso,LAK
2011-11-10,Kings,Colin Fraser,activated from non-roster list,activated from non-roster list,LAK
2011-11-11,Kings,Dustin Penner,placed on IR with hand injury,la,LAK
2011-11-13,Kings,Alec Martinez,placed on IR with upper body injury,torso,LAK
2011-12-02,Kings,Mike Richards,placed on IR with head injury,head,LAK
2011-12-02,Kings,Dustin Penner,activated from IR,activated from IR,LAK
2011-12-08,Kings,Willie Mitchell,placed on IR with lower body injury,torso,LAK
2011-12-08,Kings,Alec Martinez,activated from IR,activated from IR,LAK
2011-12-10,Kings,Willie Mitchell,activated from IR,activated from IR,LAK
2011-12-22,Kings,Mike Richards,activated from IR,activated from IR,LAK
2011-12-27,Kings,Simon Gagne,placed on IR with concussion,head,LAK
2012-02-10,Kings,Jarret Stoll,placed on IR with lower body injury,torso,LAK
2012-02-21,Kings,Jarret Stoll,activated from IR,activated from IR,LAK
2012-05-30,Kings,Simon Gagne,activated from IR,activated from IR,LAK
2013-01-18,Kings,Anze Kopitar,placed on IR with sprained knee,ul,LAK
2013-01-18,Kings,Willie Mitchell,placed on IR with surgery on knee (out for season),ul,LAK
2013-01-21,Kings,Matt Greene,placed on IR with back injury,torso,LAK
2013-01-22,Kings,Anze Kopitar,activated from non-roster list (IR?),activated from non-roster list (IR?),LAK
2013-02-12,Kings,Alec Martinez,placed on IR with upper body injury,torso,LAK
2013-03-02,Kings,Alec Martinez,activated from IR,activated from IR,LAK
2013-03-31,Kings,Dustin Penner,placed on IR with lower body injury,torso,LAK
2013-04-08,Kings,Dustin Penner,activated from IR,activated from IR,LAK
2013-04-18,Kings,Matt Greene,activated from IR,activated from IR,LAK
2013-11-02,Kings,Jeff Carter,placed on IR with lower body injury,torso,LAK
2013-11-13,Kings,Kyle Clifford,placed on IR with upper body injury,torso,LAK
2013-11-13,Kings,Matt Greene,placed on IR with upper body injury,torso,LAK
2013-11-22,Kings,Trevor Lewis,placed on IR with lower body injury,torso,LAK
2013-11-23,Kings,Kyle Clifford,activated from IR,activated from IR,LAK
2013-11-25,Kings,Jonathan Quick,placed on IR with strained groin,ul,LAK
2013-11-25,Kings,Jeff Carter,activated from IR,activated from IR,LAK
2013-12-10,Kings,Matt Greene,activated from IR,activated from IR,LAK
2013-12-14,Kings,Colin Fraser,placed on IR with concussion,head,LAK
2013-12-14,Kings,Trevor Lewis,activated from IR,activated from IR,LAK
2013-12-19,Kings,Colin Fraser,activated from IR,activated from IR,LAK
2014-01-04,Kings,Jonathan Quick,activated from IR,activated from IR,LAK
2014-10-04,Kings,Andrew Bodnarchuk,placed on IR with knee injury,ul,LAK
2014-10-14,Kings,Trevor Lewis,placed on IR upper body injury,torso,LAK
2014-10-31,Kings,Trevor Lewis,activated from IR,activated from IR,LAK
2014-11-17,Kings,Andrew Bodnarchuk,activated from IR,activated from IR,LAK
2014-12-19,Kings,Robyn Regehr,placed on IR with upper body injury,torso,LAK
2015-01-11,Kings,Tanner Pearson,placed on IR with fractured left fibula (out for season),ll,LAK
2015-01-17,Kings,Martin Jones,placed on IR with illness / back injury (CBC),torso,LAK
2015-01-19,Kings,Robyn Regehr,activated from IR,activated from IR,LAK
2015-01-28,Kings,Martin Jones,activated from IR,activated from IR,LAK
2015-01-28,Kings,Tyler Toffoli,activated from IR,activated from IR,LAK
2015-02-26,Kings,Alec Martinez,placed on IR with concussion,head,LAK
2015-03-20,Kings,Alec Martinez,activated from IR,activated from IR,LAK
2015-10-14,Kings,Matt Greene,placed on IR with upper body injury (out for season),torso,LAK
2015-10-23,Kings,Matt Greene,placed on IR with upper body injury (out for season),torso,LAK
2015-12-04,Kings,Joel Lowry,activated from IR,activated from IR,LAK
2015-12-14,Kings,Kyle Clifford,placed on IR with upper body injury (CBC),torso,LAK
2015-12-14,Kings,Trevor Lewis,placed on IR with upper body injury,torso,LAK
2015-12-19,Kings,Trevor Lewis,activated from IR,activated from IR,LAK
2015-12-29,Kings,Dwight King,activated from IR,activated from IR,LAK
2016-02-04,Kings,Kyle Clifford,activated from IR,activated from IR,LAK
2016-02-13,Kings,Marian Gaborik,placed on IR with knee injury (out for season),ul,LAK
2016-02-28,Kings,Jordan Nolan,placed on IR with herniated disc (out for season),torso,LAK
2016-10-06,Kings,Marian Gaborik,placed on IR with foot injury,ll,LAK
2016-10-13,Kings,Jonathan Quick,placed on IR with groin injury,ul,LAK
2016-10-22,Kings,Jeff Zatkoff,placed on IR with lower body injury,torso,LAK
2016-10-30,Kings,Brayden McNabb,placed on IR with arm injury,ua,LAK
2016-11-03,Kings,Andy Andreoff,placed on IR with upper body injury,torso,LAK
2016-11-07,Kings,Jeff Zatkoff,activated from IR,activated from IR,LAK
2016-11-26,Kings,Marian Gaborik,activated from IR,activated from IR,LAK
2016-12-04,Kings,Andy Andreoff,activated from IR,activated from IR,LAK
2016-12-28,Kings,Tyler Toffoli,placed on IR with lower body injury,torso,LAK
2016-12-29,Kings,Brayden McNabb,activated from IR,activated from IR,LAK
2017-01-30,Kings,Matt Greene,placed on IR with back injury,torso,LAK
2017-02-02,Kings,Jordan Nolan,placed on IR with lower body injury,torso,LAK
2017-02-04,Kings,Tyler Toffoli,activated from IR,activated from IR,LAK
2017-02-05,Kings,Jordan Nolan,placed on IR with lower body injury,torso,LAK
2017-02-25,Kings,Jonathan Quick,activated from IR,activated from IR,LAK
2017-02-25,Kings,Jordan Nolan,activated from IR,activated from IR,LAK
2007-03-01,Kings,Anze Kopitar,upper body injury (DTD),torso,LAK
2007-03-03,Kings,Richard Petiot,activated from IR,activated from IR,LAK
2007-03-06,Kings,Lubomir Visnovsky,lower body injury (DTD),torso,LAK
2007-03-06,Kings,Rob Blake,groin injury (DTD),ul,LAK
2007-03-11,Kings,Derek Armstrong,left knee injury (DTD),ul,LAK
2007-03-23,Kings,Lubomir Visnovsky,ankle injury (DTD),ll,LAK
2007-03-24,Kings,Rob Blake,strained neck (DTD),head,LAK
2007-03-29,Kings,Rob Blake,neck injury (DTD),head,LAK
2007-11-28,Kings,Michael Cammalleri,groin injury (DTD),ul,LAK
2007-12-03,Kings,Jason LaBarbera,rib injury (DTD),torso,LAK
2007-12-08,Kings,Ladislav Nagy,hip flexor (DTD),ul,LAK
2007-12-21,Kings,Dustin Brown,sprained shoulder (DTD),torso,LAK
2007-12-26,Kings,Michael Cammalleri,rib injury (DTD),torso,LAK
2007-12-26,Kings,Kevin Dallman,broken foot (out indefinitely),ll,LAK
2008-01-19,Kings,Ladislav Nagy,neck injury (DTD),head,LAK
2008-01-22,Kings,Kevin Dallman,broken foot (DTD),ll,LAK
2008-02-02,Kings,Rob Blake,left ankle injury (out indefinitely),ll,LAK
2008-02-15,Kings,Scott Thornton,neck injury (DTD),head,LAK
2008-02-21,Kings,Jason LaBarbera,groin injury (DTD),ul,LAK
2008-02-23,Kings,Derek Armstrong,knee injury (DTD),ul,LAK
2008-02-27,Kings,Jaroslav Modry,rotator cuff injury (DTD),la,LAK
2008-03-05,Kings,Jason LaBarbera,surgery to repair sports hernia (out for season),torso,LAK
2008-03-22,Kings,Jack Johnson,fractured right foot (out for season),ll,LAK
2008-03-22,Kings,Kyle Calder,finger injury (DTD),la,LAK
2008-03-22,Kings,Scott Thornton,upper body injury (out indefinitely),torso,LAK
2008-03-29,Kings,Dan Cloutier,groin injury (DTD),ul,LAK
2008-12-01,Kings,Denis Gauthier,right foot injury (DTD),ll,LAK
2008-12-05,Kings,Brad Richardson,foot injury (DTD),ll,LAK
2008-12-09,Kings,Derek Armstrong,upper body injury (DTD),torso,LAK
2008-12-16,Kings,Erik Ersberg,pulled groin (DTD),ul,LAK
2009-01-08,Kings,Oscar Moller,fractured clavicle (out indefinitely),torso,LAK
2009-01-13,Kings,Drew Doughty,bruised right thigh (DTD),ul,LAK
2009-01-18,Kings,Erik Ersberg,lower body injury (DTD),torso,LAK
2009-03-20,Kings,Denis Gauthier,upper body injury (DTD),torso,LAK
2009-03-23,Kings,Alexander Frolov,lower body injury (DTD),torso,LAK
2009-03-28,Kings,Jarret Stoll,groin injury (out for season),ul,LAK
2009-10-14,Kings,Erik Ersberg,upper body injury (DTD),torso,LAK
2009-10-17,Kings,Alec Martinez,lower body injury (DTD),torso,LAK
2009-10-22,Kings,Justin Williams,lower body injury (DTD),torso,LAK
2009-11-14,Kings,Rob Scuderi,lower body injury (DTD),torso,LAK
2009-11-16,Kings,Ryan Smyth,upper body injury (DTD),torso,LAK
2009-11-21,Kings,Jarret Stoll,lower body injury (DTD),torso,LAK
2009-12-03,Kings,Brandon Segal,sprained knee (DTD),ul,LAK
2009-12-12,Kings,Wayne Simmonds,lower body injury (DTD),torso,LAK
2009-12-14,Kings,Jarret Stoll,groin injury (DTD),ul,LAK
2009-12-16,Kings,Jack Johnson,foot injury (out indefinitely),ll,LAK
2009-12-26,Kings,Justin Williams,right knee injury (left game),ul,LAK
2010-01-05,Kings,Davis Drewiske,shoulder injury (out indefinitely),torso,LAK
2010-01-10,Kings,Matt Greene,lower body injury (out indefinitely),torso,LAK
2010-01-30,Kings,Jack Johnson,arm injury (DTD),ua,LAK
2010-03-24,Kings,Matt Greene,upper body injury (DTD),torso,LAK
2010-03-29,Kings,Erik Ersberg,back injury (DTD),torso,LAK
2010-03-29,Kings,Randy Jones,elbow injury (DTD),ua,LAK
2010-04-02,Kings,Jeff Halpern,upper body injury (DTD),torso,LAK
2010-09-15,Kings,Matt Greene,recovering from surgery on left shoulder (out indefinitely),torso,LAK
2010-10-21,Kings,Drew Doughty,upper body injury (DTD),torso,LAK
2010-11-07,Kings,Willie Mitchell,broken wrist (out indefinitely),la,LAK
2010-11-08,Kings,Alexei Ponikarovsky,broken finger (DTD),la,LAK
2010-11-16,Kings,Scott Parse,groin injury (out indefinitely),ul,LAK
2010-12-16,Kings,Matt Greene,upper body injury (DTD),torso,LAK
2010-12-17,Kings,Willie Mitchell,lower body injury (DTD),torso,LAK
2010-12-27,Kings,Alexei Ponikarovsky,lower body injury (DTD),torso,LAK
2011-01-16,Kings,Wayne Simmonds,lower body injury (DTD),torso,LAK
2011-03-19,Kings,Kyle Clifford,head injury (DTD),head,LAK
2011-03-22,Kings,Justin Williams,dislocated right shoulder (out indefinitely),torso,LAK
2011-03-27,Kings,Anze Kopitar,broken right ankle (out for season),ll,LAK
2011-04-22,Kings,Scott Parse,surgery on hip (DTD),ul,LAK
2011-10-06,Kings,Dustin Penner,lower body injury (DTD),torso,LAK
2011-10-29,Kings,Simon Gagne,middle body injury (DTD),torso,LAK
2011-12-02,Kings,Willie Mitchell,lower body injury (DTD),torso,LAK
2011-12-13,Kings,Willie Mitchell,groin injury (DTD),ul,LAK
2012-01-07,Kings,Dustin Penner,back spasms (DTD),torso,LAK
2012-02-18,Kings,Kevin Westgarth,bruised/sore hand (DTD),la,LAK
2012-03-30,Kings,Jeff Carter,ankle injury (out for season),ll,LAK
2012-04-10,Kings,Brad Richardson,appendectomy (out indefinitely),torso,LAK
2012-04-12,Kings,Kyle Clifford,concussion (DTD),head,LAK
2013-05-16,Kings,Jarret Stoll,upper body injury (DTD),torso,LAK
2013-06-02,Kings,Mike Richards,upper body injury (DTD),torso,LAK
2013-11-03,Kings,Jarret Stoll,upper body injury (DTD),torso,LAK
2013-11-10,Kings,Kyle Clifford,upper body injury (DTD),torso,LAK
2013-11-13,Kings,Jonathan Quick,strained groin (DTD),ul,LAK
2013-11-23,Kings,Matt Frattin,lower body injury (DTD),torso,LAK
2013-12-10,Kings,Matt Greene,upper body injury (DTD),torso,LAK
2013-12-12,Kings,Colin Fraser,concussion (DTD),head,LAK
2013-12-15,Kings,Willie Mitchell,upper body injury (DTD),torso,LAK
2014-01-15,Kings,Matt Greene,concussion (DTD),head,LAK
2014-01-27,Kings,Alec Martinez,elbow injury (DTD),ua,LAK
2014-04-05,Kings,Drew Doughty,bruised left shoulder (out for season),torso,LAK
2014-10-08,Kings,Jake Muzzin,upper body injury (DTD),torso,LAK
2014-10-09,Kings,Trevor Lewis,upper body injury (DTD),torso,LAK
2014-10-14,Kings,Marian Gaborik,upper body injury (DTD),torso,LAK
2014-10-27,Kings,Anze Kopitar,upper body injury (DTD),torso,LAK
2014-11-06,Kings,Justin Williams,eye injury (DTD),head,LAK
2014-11-14,Kings,Alec Martinez,finger injury (surgery) (DTD),la,LAK
2014-11-29,Kings,Marian Gaborik,upper body injury (DTD),torso,LAK
2015-02-08,Kings,Alec Martinez,concussion-like symptoms (DTD),head,LAK
2015-03-14,Kings,Jarret Stoll,upper body injury (DTD),torso,LAK
2015-03-31,Kings,Andrej Sekera,lower body injury (out for season),torso,LAK
2015-11-03,Kings,Anze Kopitar,upper body injury (DTD),torso,LAK
2015-12-05,Kings,Trevor Lewis,upper body injury (DTD),torso,LAK
2015-12-08,Kings,Kyle Clifford,upper / lower (Y) body injury (DTD),torso,LAK
2015-12-27,Kings,Jeff Carter,upper body injury (DTD),torso,LAK
2016-02-19,Kings,Anze Kopitar,lower body injury (DTD),torso,LAK
2016-02-20,Kings,Jordan Nolan,herniated disc (DTD),torso,LAK
2016-03-20,Kings,Kris Versteeg,upper body injury (DTD),torso,LAK
2016-10-29,Kings,Teddy Purcell,lower body injury (DTD),torso,LAK
2016-10-30,Kings,Andy Andreoff,upper body injury (DTD),torso,LAK
2016-11-12,Kings,Anze Kopitar,upper body injury (DTD),torso,LAK
2016-11-12,Kings,Jeff Zatkoff,lower body injury (DTD),torso,LAK
2016-12-18,Kings,Dustin Brown,upper body injury (DTD),torso,LAK
2016-12-20,Kings,Kyle Clifford,upper body injury (DTD),torso,LAK
2016-12-22,Kings,Tyler Toffoli,lower body injury (DTD),torso,LAK
2017-01-22,Kings,Matt Greene,back injury (DTD),torso,LAK
2017-01-22,Kings,Nic Dowd,lower body injury (DTD),torso,LAK
2017-02-04,Kings,Jordan Nolan,lower body injury (DTD),torso,LAK
2017-02-21,Kings,Paul Ladue,upper body injury (DTD),torso,LAK
2017-02-26,Kings,Jordan Nolan,leg injury (DTD),ll,LAK
2017-03-04,Kings,Nick Shore,upper body injury (DTD),torso,LAK
2007-10-02,Sharks,Tomas Plihal,placed on IR with shoulder injury,torso,SJS
2007-10-12,Sharks,Devin Setoguchi,activated from IR,activated from IR,SJS
2007-10-28,Sharks,Ryane Clowe,placed on IR with knee injury,ul,SJS
2007-11-15,Sharks,Marcel Goc,placed on IR with back spasms,torso,SJS
2007-11-29,Sharks,Tomas Plihal,activated from IL,activated from IL,SJS
2007-12-11,Sharks,Jonathan Cheechoo,placed on IR with groin injury,ul,SJS
2007-12-11,Sharks,Marcel Goc,activated from IR,activated from IR,SJS
2007-12-14,Sharks,Alexei Semenov,placed on IR with broken finger,la,SJS
2007-12-20,Sharks,Jeremy Roenick,activated from IR,activated from IR,SJS
2007-12-26,Sharks,Jonathan Cheechoo,activated from IR,activated from IR,SJS
2008-01-13,Sharks,Alexei Semenov,activated from IR,activated from IR,SJS
2008-02-03,Sharks,Douglas Murray,placed on IR with hip pointer,ul,SJS
2008-02-17,Sharks,Alexei Semenov,placed on IR with back injury,torso,SJS
2008-02-17,Sharks,Douglas Murray,activated from IR,activated from IR,SJS
2008-02-18,Sharks,Patrick Marleau,placed on IR with groin injury,ul,SJS
2008-02-20,Sharks,Patrick Marleau,activated from IR,activated from IR,SJS
2008-02-24,Sharks,Alexei Semenov,activated from IR,activated from IR,SJS
2008-03-30,Sharks,Ryane Clowe,activated from IR,activated from IR,SJS
2008-09-24,Sharks,Torrey Mitchell,placed on IR with fractured left leg,ll,SJS
2008-12-11,Sharks,Jeremy Roenick,placed on IR with shoulder injury,torso,SJS
2009-02-13,Sharks,Marcel Goc,placed on IR with lower body injury,torso,SJS
2009-02-21,Sharks,Brad Lukowich,activated from IR,activated from IR,SJS
2009-02-21,Sharks,Jeremy Roenick,activated from IR,activated from IR,SJS
2009-03-03,Sharks,Jeremy Roenick,placed on IR withi shoulder injury,torso,SJS
2009-03-03,Sharks,Mike Grier,placed on IR with knee injury,ul,SJS
2009-03-05,Sharks,Claude Lemieux,placed on IR with jaw injury,head,SJS
2009-03-12,Sharks,Marcel Goc,activated from IR,activated from IR,SJS
2009-03-25,Sharks,Jeremy Roenick,activated from IR,activated from IR,SJS
2009-04-07,Sharks,Claude Lemieux,activated from IR,activated from IR,SJS
2009-04-07,Sharks,Mike Grier,activated from IR,activated from IR,SJS
2009-04-21,Sharks,Torrey Mitchell,activated from IR,activated from IR,SJS
2009-10-01,Sharks,Torrey Mitchell,placed on IR with left knee injury,ul,SJS
2009-10-25,Sharks,Ryan Vesce,placed on IR with leg injury,ll,SJS
2009-11-05,Sharks,Rob Blake,placed on IR with left arm injury,ua,SJS
2009-11-07,Sharks,Joe Pavelski,activated from IR,activated from IR,SJS
2009-11-10,Sharks,Ryan Vesce,activated from IR,activated from IR,SJS
2009-11-27,Sharks,Torrey Mitchell,activated from IR,activated from IR,SJS
2009-11-29,Sharks,Devin Setoguchi,activated from IR,activated from IR,SJS
2009-11-29,Sharks,Rob Blake,activated from IR,activated from IR,SJS
2009-12-03,Sharks,Brad Staubitz,placed on IR with facial injury,torso,SJS
2010-01-02,Sharks,Jody Shelley,activated from IR,activated from IR,SJS
2010-01-02,Sharks,Brad Staubitz,activated from IR,activated from IR,SJS
2010-01-05,Sharks,Torrey Mitchell,activated from IR,activated from IR,SJS
2010-03-02,Sharks,Marc-Edouard Vlasic,placed on IR with lower body injury,torso,SJS
2010-03-21,Sharks,Marc-Edouard Vlasic,activated from IR,activated from IR,SJS
2010-11-27,Sharks,Jason Demers,placed on IR with upper body injury,torso,SJS
2010-12-04,Sharks,Devin Setoguchi,placed on IR with upper body injury,torso,SJS
2010-12-06,Sharks,Jason Demers,activated from IR,activated from IR,SJS
2010-12-15,Sharks,Devin Setoguchi,activated from IR,activated from IR,SJS
2010-12-29,Sharks,John McCarthy,placed on IR with upper body injury,torso,SJS
2011-01-13,Sharks,Torrey Mitchell,placed on IR with lower body injury,torso,SJS
2011-01-13,Sharks,Joe Pavelski,activated from IR,activated from IR,SJS
2011-01-18,Sharks,John McCarthy,activated from IR,activated from IR,SJS
