0,activated from IR
1,placed on IR with sprained ankle
2,placed on IR with ankle injury
3,placed on IR with shoulder injury
4,placed on IR with arm injury
5,placed on IR with abdominal injury
6,placed on IR with facial injury
7,placed on IR with sports hernia
8,placed on IR with surgery on shoulder
9,placed on IR with wrist injury
10,placed on IR with foot injury
11,placed on IR with surgery on hip
12,placed on IR with upper body injury
13,placed on IR with broken right hand
14,placed on IR with rib injury
15,placed on IR with fractured left foot
16,placed on IR with broken left hand
17,placed on IR with fractured orbital bone
18,placed on IR with strained oblique muscle
19,placed on IR with bruised ribs
20,placed on IR with chest injury
21,placed on IR with lacerated right index finger
22,placed on IR with concussion
23,placed on IR with throat contusion
24,placed on IR recovering from surgery on left knee (out for season)
25,placed on IR with appendectomy
26,placed on IR with lower body injury
27,placed on IR with hand injury
28,placed on IR with facial injury / fractured orbital bone
29,placed on IR with separated shoulder / broken nose
30,placed on IR with hip injury
31,placed on IR with broken thumb
32,placed on IR with broken hand
33,placed on IR with groin injury
34,placed on IR with knee injury
35,placed on IR with neck injury
36,placed on IR recovering from appendectomy
37,placed on IR with strained groin
38,placed on IR with fractured foot
39,placed on IR with foot injury (out for season)
40,placed on IR with hip injury (CBC CBS) / designated as injured non-roster player (E)
41,placed on IR with irregular hearbeat
42,placed on IR with fractured right leg
43,placed on IR with sprained left ankle
44,placed on IR with heart surgery (out for season)
45,placed on IR with fractured ankle
46,placed on IR with groin injury (CBC E SN)
47,placed on IR with sprained right knee
48,activated from IR (SN)
49,placed on IR with surgery on wrist
50,placed on IR with upper body injury (Y)
51,placed on IR with upper body injury (CBC)
52,placed on IR with concussion-like symptoms
53,knee injury (DTD)
54,toe injury (DTD)
55,groin injury (DTD)
56,lower body injury (DTD)
57,facial injury (DTD)
58,concussion (DTD)
59,hand injury (out 1-2 weeks)
60,upper body injury (DTD)
61,torso injury (DTD)
62,sports hernia (DTD)
63,hand injury (DTD)
64,bruised foot (DTD)
65,foot injury (DTD)
66,neck injury (DTD)
67,surgery on retina (out 1-2 weeks)
68,right shoulder injury (DTD)
69,sore back (DTD)
70,head injury (DTD)
71,leg injury (DTD)
72,knee injury (out indefinitely)
73,eye injury (DTD)
74,shoulder injury (out 4-5 weeks)
75,torn ACL in right knee (out for season)
76,surgery on right knee to repair torn ACL (out for season)
77,surgery to repair broken jaw (DTD)
78,shoulder injury (DTD)
79,surgery on hip (out for season)
80,right knee injury (DTD)
81,lower body injury (out for season)
82,knee injury (out for season)
83,bruised ribs (DTD)
84,strained oblique muscle (DTD)
85,chest injury (DTD)
86,sore groin (DTD)
87,pulled groin (DTD)
88,shoulder injury (left game)
89,appendectomy (out indefinitely)
90,surgery on knee (out indefinitely)
91,back injury (DTD)
92,lacerated leg (out for season)
93,quadriceps injury (DTD)
94,broken nose (DTD)
95,lacerated hand (DTD)
96,hip injury (DTD)
97,dizzyness (DTD)
98,separated shoulder / broken nose (DTD)
99,broken orbital bone / scratched cornea (DTD)
100,hip flexor injury (DTD)
101,fractured orbital bone (DTD)
102,lower body injury (out indefinitely)
103,sprained MCL in knee (out for season)
104,lacerated leg (DTD)
105,back injury (out for season)
106,broken thumb (out indefinitely)
107,ankle injury (DTD)
108,bruised quadriceps (DTD)
109,concussion / head injury (DTD)
110,back spasms (DTD)
111,strained abdominal muscle (DTD)
112,strained groin (DTD)
113,upper body injury (left game)
114,wrist injury (DTD)
115,shoulder injury (out for season)
116,irregular heartbeat (DTD)
117,concussion (CBC) / concussion-like symptoms (T) (DTD)
118,irregular heartbeat (out for season)
119,concussion / lower body injury (CBC) (out indefinitely)
120,groin/hip injury (DTD)
121,sprained knee (DTD)
122,Achilles injury (DTD)
123,upper body injury (out for season)
124,Achilles injury (out for season)
125,hand injury (out for season)
126,heel injury (DTD)
127,surgery on hip to repair torn labrum (out indefinitely)
128,activated from injury-suspended list
129,placed on IR with torn ligament in right thumb
130,placed on IR with surgery on right thumb to repair torn ligament
131,placed on IR with surgery on finger
132,placed on IR with arthroscopic knee surgery (out 3-5 weeks)
133,placed on IR with fractured jaw
134,placed on IR with right shoulder injury
135,activated from iR
136,placed on IR with left high ankle sprain
137,activated from injured / non-roster status
138,placed on IR recovering from surgery on knee
139,placed on IR with surgery to repair torn left quadriceps tendon (out for season)
140,placed on IR recovering from surgery to repair broken nose
141,placed on IR with fractured left hand
142,placed on IR with broken wrist
143,placed on IR with right knee injury
144,placed on IR with left ankle injury
145,placed on IR with concussion (out for season)
146,placed on IR with finger injury
147,placed on IR wtih surgery on back
148,placed on IR with leg injury
149,placed on IR with jaw injury
150,placed on IR with cracked rib
151,placed on IR with left leg / left hand/finger (CBC) injury
152,placed on IR with torn ACL in knee
153,placed on IR with facial fractures
154,placed on IR with left knee injury (surgery)
155,placed on IR with blood clot in leg (out for season)
156,placed on IR with lower body injury (out for season)
157,placed on IR with upper body injury (CBS S T)
158,placed on IR with sprained MCL in knee
159,placed on IR with upper body injury (CBS S Y)
160,placed on IR with upper body injury (out for season)
161,placed on IR with head injury
162,placed on IR with cracked ribs
163,placed on IR with back injury
164,placed on IR with dislocated wrist
165,placed on IR with mid-body injury
166,broken finger (DTD)
